*****************************************************
* Loran-C chain information file for TD2LL
* Format:
* GRI  Chain Name
* Designator  EmissionDelay(Microsecs) Name Power(kW) nom-ECD Latitude Longitude
*
* DO NOT DELETE THESE 10 PREAMBLE LINES!
* University of Wales is not responsible for users' alterations
* to the contents of this file!
* NEVER RELY ON A SINGLE NAVIGATION SYSTEM!
7499 NELS Sylt 
M 00000.00 Sylt 250 0.5 54.80813819 8.29357111
X 14100.00 Lessay 250 0.0 49.14867333 -1.504730278
Y 29500.00 Vaerlandet 250 0.0 61.29706528 4.696282778
*
6731 NELS Lessay   
M 00000 Lessay 250 0.0 49.14867333 -1.504730278
X 13000 Soustons 250 0.0 43.73974972 -1.38044
Z 42100 Sylt 250 0.5 54.8083639 8.293571111
*
7001 NELS Bo  
M 00000 Bo 400 0.0 68.63506 14.46315278
X 14100 Janmayen 250 0.0 70.91429944 -8.732368056
Y 29100 Berlevag 250 0.0 70.84528167 29.20443889
*
9007 NELS Ejde  
M 00000 Ejde 400 0.0 62.29995472 -7.073910833
W 14200 Janmayen 250 0.0 70.91429944 -8.732368056
X 28000 Bo 400 0.0 68.63506 14.46315278
Y 41100 Vaerlandet 250 0.0 61.29706528 4.696282778
*
5930 Canadian East Coast
M 00000.00 Caribou 800 0.0 46.80758472 -67.92698861
X 13131.88 Nantucket 400 0.0 41.25334611 -69.97737111
Y 28755.02 CapeRace 500 0.0 46.775635 -53.174335
Z 41594.59 FoxHarbour 900 0.0 52.37645889 -55.70773944
*
5990 Canadian West Coast  
M 00000.00 Williams 400 1.0 51.96635444 -122.367135
X 13343.60 ShoalCove 560 0.0 55.43915 -131.2553039
Y 28927.36 George 1400 0.5 47.06336 -119.74416
Z 42268.63 PortHardy 350 0.0 50.60828611 -127.3579136
*
7960 Gulf Of Alaska
M 00000.00 Tok 560 1.0 63.32857889 -142.8087122
X 13804.45 Kodiak 400 0.0 57.4389725 -152.3696411
Y 29651.14 ShoalCove 560 0.0 55.43915 -131.2553039
Z 47932.52 PortClarence 1000 0.0 65.24454778 -166.8866656
*
7980 Southeast US
M 00000.00 Malone 800 0.0 30.99413056 -85.1690975
W 12809.54 Grangeville 800 -0.5 30.72587472 -90.82862389
X 27443.38 Raymondville 540 0.0 26.53198361 -97.83320528
Y 45201.88 Jupiter 350 0.0 27.03292444 -80.1146875
Z 61542.72 CarolinaBeach 600 0.0 34.06283556 -77.91280556
*
8290 North Central US
M 00000.00 Havre 400 0.0 48.7440525 -109.9815592
W 14786.56 Baudette 800 0.0 48.61387417 -94.55497639
X 29084.44 Gillette 540 0.0 44.00314028 -105.6233042
Y 45171.62 Williams 400 0.0 51.96635444 -122.367135
*
8970 Great Lakes
M 00000.00 Dana 400 -0.5 39.85212722 -87.48655167
W 14355.11 Malone 800 0.0 30.99413056 -85.1690975
X 31162.06 Seneca 800 0.0 42.71408778 -76.82591889
Y 47753.74 Baudette 800 0.0 48.61387417 -94.55497639
Z 63669.46 BoiseCity 900 0.0 36.50577306 -102.8998575
*
9610 South Central US
M 00000.00 BoiseCity 900 0.0 36.50577306 -102.8998575
V 13884.48 Gillette 540 0.0 44.00314028 -105.6233042
W 28611.61 Searchlight 560 0.0 35.32175139 -114.8046892 
X 42044.93 LasCruces 540 0.0 32.07170278 -106.8678856
Y 56024.80 Raymondville 540 0.0 26.53198361 -97.83320528
Z 69304.00 Grangeville 800 -0.5 30.72587472 -90.82862389
*
9940 US West Coast  
M 00000.00 Fallon 400 1.0 39.55187222 -118.8321711
W 13796.90 George 1400 0.5 47.06336 -119.74416
X 28094.50 Middletown 400 0.5 38.78253056 -122.4955486
Y 41967.30 Searchlight 560 0.0 35.32175139 -114.8046892 
* 
9960 Northeast US
M 00000.00 Seneca 800 0.0 42.71408778 -76.82591889
W 13797.20 Caribou 800 0.0 46.80758472 -67.92698861
X 26969.93 Nantucket 400 0.0 41.25334611 -69.97737111
Y 42221.65 CarolinaBeach 600 0.0 34.06283556 -77.91280556
Z 57162.06 Dana 400 -0.5 39.85212722 -87.48655167
*
9990 North Pacific
M 00000.00 StPaul 400 0.0 57.15343056 -170.2517347
X 14875.25 Attu 400 0.0 52.82892611 173.1804244
Y 32068.95 PortClarence 1000 0.0 65.24454778 -166.8866656 
Z 46590.45 Kodiak 400 0.0 57.4389725 -152.3696411
*
5980 Russian American
M 00000.00 Petropavlovsk 700 0.0 53.12988444 157.69525
X 14467.56 Attu 400 0.0 52.82892611 173.1804244
Y 31506.50 Alexandrovsk 700 0.0 51.07855556 142.701375
*
7270 Newfoundland East Coast
M 00000.00 ComfortCove 250 0.0 49.33154722 -54.861825
W 12037.49 CapeRace 500 0.0 46.775635 -53.174335
X 26148.01 FoxHarbour 900 0.0 52.37645889 -55.70773944
*
end
